Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
diary & eggs,Sahne-Pulver,Cream powder,2729,1534.95,1533,3,2.0,0,0,0.9,559.85,995,178,Poudre de crème
diary & eggs,Crème Fraiche,Creme fraiche cheese,806,342.47,340,6,2.5,0,0,0.68,329.61,776,235,Crème fraîche
diary & eggs,Quark,Curd,1620,293.69,290,20,3.7,0,0,0.29,62.58,345,552,Fromage blanc
diary & eggs,Eiweiss (Ei),Egg white,1607,271.26,267,25,4.3,0,0,0.27,44.66,265,593,Blanc d'œuf (œuf)
diary & eggs,Eigelb,Egg yolk,477,271.26,267,7,4.3,0,0,0.91,346.33,609,176,Jaune d'œuf
diary & eggs,Eier (Freilandhaltung),Eggs (free range),750,220.26,216,15,4.3,0,0,0.47,141,480,340,Œufs (élevage en plein air)
diary & eggs,Emmentaler,Emmentaler,1274,955.69,952,5,3.7,0,0,1.2,406.04,541,133,fromage Emmental
diary & eggs,Ziegenkäse,Goat cheese,756,340.42,333,16,7.4,0,0,0.72,241.23,536,222,Fromage de chèvre
diary & eggs,Ziegenmilch,Goat milk,1049,111.42,104,70,7.4,0,0,0.17,56.61,533,941,Lait de chèvre
diary & eggs,Grana padano,Grana padano,1215,941.69,938,5,3.7,0,0,1.24,372.6,481,129,Grana padano
diary & eggs,Gruyère,Gruyere,1291,927.69,924,5,3.7,0,0,1.15,394.1,548,139,Gruyère
diary & eggs,Margarine,Margarine,157,134.68,132,3,2.7,0,0,1.37,711.76,831,117,Margarine
diary & eggs,Mascarpone,Mascarpone,1017,616.69,613,6,3.7,0,0,0.97,446.64,737,165,Mascarpone
diary & eggs,Milchpulver,Milk powder,303,220.01,218,3,2.0,0,0,1.16,480.08,662,138,Lait en poudre
diary & eggs,Mozarella,Mozzarella (from cow's milk),1420,674.69,671,8,3.7,0,0,0.76,250.79,528,211,Mozarella
diary & eggs,Joghurt (nature),Natural yoghurt,3155,374.69,371,31,3.7,0,0,0.19,48.01,404,842,Yoghourt (nature)
diary & eggs,Haferrahm,Oats cream,127,24.56,11,70,13.6,0,0,0.31,146.65,757,516,Crème d'avoine
diary & eggs,Paneer,Paneer,1647,864.69,861,7,3.7,0,0,0.84,285.9,545,190,Paneer
diary & eggs,Parmesan,Parmesan,1215,941.69,938,5,3.7,0,0,1.24,372.6,481,129,Parmesan
diary & eggs,Raclette,Raclette,1408,941.69,938,6,3.7,0,0,1.07,355.88,532,150,Raclette
diary & eggs,Ricotta,Ricotta,220,64.69,61,13,3.7,0,0,0.47,154,524,340,Ricotta
diary & eggs,Seidentofu,Silken tofu,964,120.53,106,116,13.3,1.24,0,0.2,55,440,800,Tofu soyeux
diary & eggs,Sauerrahm,Sour cream,806,342.47,340,6,2.5,0,0,0.68,329.61,776,235,Crème fraîche
diary & eggs,Sauermilch,Sour milk,1537,278.58,275,20,3.6,0,0,0.29,119.42,659,552,Lait caillé
diary & eggs,Tilsiter,Tilsit cheese,1343,864.69,861,6,3.7,0,0,1.03,351.1,545,155,Tilsit
diary & eggs,Molke,Whey,134,6.69,3,74,3.7,0,0,0.08,24.12,482,2000,Lactosérum
diary & eggs,Molkepulver,Whey powder,641,256.29,253,8,3.3,0,0,0.64,374.75,937,250,Poudre de lactosérum
diary & eggs,Vollei,Whole egg,923,271.26,267,15,4.3,0,0,0.47,140.68,479,340,Œuf entier
fish & seafood,Fische und Meeresfrüchte,AA Fish & seafood,,0.00,,,,,,,,,,Poissons et fruits de mer
fish & seafood,Sardellen,Anchovies,1197,388.87,335,166,27.8,26.06,0,0.52,113,348,308,Anchois
