Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
meat,Kalb (Ragout),Veal (ragout),7051,2247.44,2245,8,2.4,0,0,0.51,102.46,321,314,Veau (ragoût)
meat,Kalb (Wurstfleisch),Veal (sausage),2973,1170.44,1168,6,2.4,0,0,0.63,225.23,572,254,Veau (chair à saucisse)
meat,Kalb (Schnitzel),Veal (schnitzel),13553,4489.44,4487,7,2.4,0,0,0.53,99.12,299,302,Veau (escalope)
meat,Kalb (Schulterbraten),Veal (shoulder),6971,2396.44,2394,7,2.4,0,0,0.55,124.44,362,291,Veau (rôti d'épaule)
meat,Kalb (Steak),Veal (steak),15605,5559.44,5557,7,2.4,0,0,0.57,113.69,319,281,Veau (steak)
meat,Wildschwein,Wild boar,2172,692.19,690,7,2.2,0,0,0.51,109.15,342,314,Sanglier
nuts & seeds,"Nüsse, Samen und Öle","AA Nuts, seeds and oils",,0.00,,,,,,,,,,"Noix, graines et huiles"
nuts & seeds,Mandeln,Almonds,250,212.33,188,29,13.7,10.65,0,1.36,568.45,669,118,Amandes
nuts & seeds,Tierfett,Animal fat,882,683.86,681,4,2.9,0,0,1.24,652.05,841,129,Graisse animale
nuts & seeds,Cashewkerne,Cashews,420,338.92,310,36,21.2,7.72,0,1.29,587.56,729,124,Noix de cajou
nuts & seeds,Chiasamen,Chia,139,92.00,81,17,11.0,0,0,1.06,485.81,733,151,Graines de chia
nuts & seeds,Kakaobutter,Cocoa butter,113,118.79,101.07,17,10.9,6.78,0,1.68,881,839,95,Beurre de cacao
nuts & seeds,Kakaomasse,Cocoa paste,99,77.76,60.04,23,10.9,6.78,0,1.26,630,800,127,Masse de cacao
nuts & seeds,Kokosnuss,Coconut,219,181.92,153,35,21.2,7.72,0,1.33,667,802,120,Noix de coco
nuts & seeds,Kokosnussöl,Coconut oil,263,275.92,247,28,21.2,7.72,0,1.68,878.95,837,95,Huile de noix de coco
nuts & seeds,Kokosraspeln,Desiccated coconut,290,166.92,138,50,21.2,7.72,0,0.92,473.23,823,174,Flocons de noix de coco
nuts & seeds,Traubenkernöl,Grapeseed oil,288,301.94,267,33,30.5,4.44,0,1.68,881,839,95,Huile de pépins de raisin
nuts & seeds,Haselnussöl,Hazelnut oil,436,463.32,424,37,37.5,1.83,0,1.7,902.84,850,94,Huile de noisette
nuts & seeds,Haselnüsse,Hazelnuts,309,270.43,245,29,25.2,0.2,0,1.4,632.94,723,114,Noisettes
nuts & seeds,Leinsamen,Linseed,208,141.57,117,36,23.8,0.82,0,1.09,465.75,684,147,Graines de lin
nuts & seeds,Nüsse,Nuts,313,267.79,226,49,35.0,6.75,0,1.37,592.34,692,117,Noix
nuts & seeds,Olivenöl,Olive oil,461,441.15,428,14,13.1,0.03,0,1.53,795.36,832,105,Huile d'olive
nuts & seeds,Oliven,Olives,482,87.43,71,91,16.4,0,0,0.29,123,679,552,Olives
nuts & seeds,Palmöl,Palm oil,397,375.14,357,19,6.8,11.3,0,1.51,785.8,833,106,Huile de palme
nuts & seeds,Erdnussbutter,Peanut butter,210,181.23,177.33,5,3.9,0,0,1.38,581.99,675,116,Beurre de cacahuète
nuts & seeds,Erdnussöl,Peanut oil,485,463.32,424,41,37.5,1.83,0,1.53,795.36,832,105,Huile d'arachide
nuts & seeds,Erdnüsse,Peanuts,234,211.79,170,46,35.0,6.75,0,1.45,594.73,656,110,Cacahuètes
nuts & seeds,Pinienkerne,Pine nuts,265,251.79,210,44,35.0,6.75,0,1.52,587.56,618,105,Pignons de pin
nuts & seeds,Pistazien,Pistachios,496,406.47,383,29,20.0,3.5,0,1.31,566,691,122,Pistaches
nuts & seeds,Kürbiskerne,Pumpkin seeds,171,169.10,166,3,3.1,0,0,1.58,597.11,605,101,Graines de citrouille
nuts & seeds,Rapsöl,Rapeseed oil,209,199.70,197,3,2.7,0,0,1.53,795.36,832,105,Huile de colza
nuts & seeds,Distelöl,Safflower oil,239,227.13,200,29,24.0,3.16,0,1.52,792.97,835,105,Huile de carthame
nuts & seeds,Sesam,Sesame,253,208.92,180,35,21.2,7.72,0,1.32,582.78,706,121,Sésame
nuts & seeds,Sesamöl,Sesame oil,288,301.94,267,33,30.5,4.44,0,1.68,887.07,845,95,Huile de sésame
nuts & seeds,Sojaöl,Soybean oil,824,787.90,782,6,5.9,0,0,1.53,795.36,832,105,Huile de soja
nuts & seeds,Sonnenblumenöl,Sunflower oil,303,289.36,269,21,12.3,8.05,0,1.53,795.36,832,105,Huile de tournesol
nuts & seeds,Sonnenblumenkerne,Sunflower seeds,103,92.00,81,12,11.0,0,0,1.43,618.61,692,112,Graines de tournesol
nuts & seeds,Pflanzliches Öl,Vegetable fat,315,301.37,263,40,24.8,13.58,0,1.53,795.36,832,105,Huile végétale
nuts & seeds,Walnussöl,Walnut oil,551,578.62,539.3,37,37.5,1.83,0,1.68,880,838,95,Huile de noix
nuts & seeds,Walnüsse,Walnuts,216,213.43,210,3,3.3,0.16,0,1.58,730.87,740,101,Noix de Grenoble
spices & condiments,Würzmittel,AA spices & condiments,,0.00,,,,,,,,,,Condiments
spices & condiments,Anis,Anise,201,63.95,30,107,33.7,0.3,0,0.51,180,565,314,Anis
spices & condiments,Apfelessig,Apple cider vinegar,6720,294.00,290,91,4.0,0,0,0.07,26.03,595,2286,Vinaigre de cidre de pomme
spices & condiments,Apfelpektin,Apple pectin,1345,327.95,326,8,2.0,0,0,0.39,324.83,1333,410,Pectine de pomme
spices & condiments,Backpulver,Baking powder,1214,129.00,112,160,15.0,2,0,0.17,0,0,941,Poudre à lever
spices & condiments,Balsamico-Essig,Balsamic vinegar,2949,147.44,137,209,9.3,1.1,0,0.08,32.01,640,2000,Vinaigre balsamique
spices & condiments,Gerstenmalzextrakt,Barley malt extract,319,81.85,79,11,2.9,0,0,0.41,283.99,1108,390,Extrait de malt d'orge
spices & condiments,Basilikum,Basil,339,31.81,21,115,7.8,3.00,179.77,0.15,46.34,494,1067,Basilic
spices & condiments,Kapern,Capers,1535,105.53,71,502,34.1,0.46,0,0.11,22.36,325,1455,Câpres
spices & condiments,Kardamom,Cardamom,165,64.53,30,88,34.1,0.46,0,0.625,321,822,256,Cardamome
spices & condiments,Kerbel,Chervil,217,21.19,15,63,6.1,0.06,3.59,0.156,19.12,196,1026,Cerfeuil
spices & condiments,Chili,Chili,755,56.65,44,169,11.2,1.41,84.6,0.12,47.53,634,1333,Piment
spices & condiments,Schnittlauch,Chives,466,37.87,35,35,2.4,0.43,25.82,0.13,29.62,365,1231,Ciboulette
spices & condiments,Schokolade (dunkel),Chocolate (dark),401,228.00,210,32,15.0,3,0,0.91,532.63,936,176,Chocolat (noir)
spices & condiments,Milchschokolade,Chocolate (milk),650,377.72,360,30,10.9,6.78,0,0.93,535.01,920,172,Chocolat au lait
spices & condiments,Weisse Schokolade,Chocolate (white),691,427.72,410,29,10.9,6.78,0,0.99,566.06,915,162,Chocolat blanc
spices & condiments,Zimt,Cinnamon,294,64.25,30,157,28.2,6.02,0,0.35,147,672,457,Cannelle
spices & condiments,Nelken,Cloves,83,26.46,13.7,40,6.3,6.43,385.97,0.51,431,1352,314,Clous de girofle
spices & condiments,Kakaopulver,Cocoa powder,92,57.81,40.09,28,10.9,6.78,0,1,403.65,646,160,Poudre de cacao
spices & condiments,Koriander,Coriander,599,41.15,30,162,8.8,2.37,142.05,0.11,21.97,320,1455,Coriandre
spices & condiments,Kreuzkümmel,Cumin,109,64.53,30,58,34.1,0.46,0,0.946,405,685,169,Cumin
spices & condiments,Curry,Curry,150,64.53,30,80,34.1,0.46,0,0.69,275.15,638,232,Curry
spices & condiments,Currypaste,Curry paste,938,128.92,90.55,279,24.8,13.58,0,0.22,100,727,727,Pâte de curry
spices & condiments,Traubenzucker,Dextrose,1731,476.02,474,7,2.0,0,0,0.44,399,1451,364,Dextrose
spices & condiments,Dill,Dill,243,25.81,15,102,7.8,3.00,179.77,0.17,57.8,544,941,Aneth
spices & condiments,Fenchelsamen,Fennel seeds,322,102.63,96,21,6.6,0,0,0.51,180,565,314,Graines de fenouil
spices & condiments,Galgant,Galangal,544,54.36,30,244,8.2,16.15,0,0.16,81,810,1000,Galanga
spices & condiments,Gelatine,Gelatin,218,257.37,219,32,24.8,13.58,0,1.89,353.73,299,85,Gélatine
spices & condiments,Ingwer,Ginger,544,54.36,30,244,8.2,16.15,0,0.16,81,810,1000,Gingembre
spices & condiments,Kräutertee,Herbal tea,7152,178.79,154,992,24.8,0,0,0.04,0,0,4000,Tisane
spices & condiments,Kräuter,Herbs,574,64.53,30,307,34.1,0.46,0,0.18,44,391,889,Herbes aromatiques
spices & condiments,Honig,Honey,413,93.03,75,80,9.4,8.61,0,0.36,310.5,1380,444,Miel
spices & condiments,Marmelade,Jam,795,154.00,131,119,18.0,5,0,0.31,248.4,1282,516,Confiture
spices & condiments,Wacholderbeeren,Juniper berries,672,46.19,44,32,2.2,0,0,0.11,37.69,548,1455,Baies de genévrier
spices & condiments,Ketchup,Ketchup,910,113.80,96.8,136,15.0,2,0,0.2,118.95,952,800,Ketchup
spices & condiments,Lorbeer,Laurel,283,31.81,21,96,7.8,3.00,179.77,0.18,44,391,889,Feuilles de laurier
spices & condiments,Zitronenmelisse,Lemon balm,283,31.81,21,96,7.8,3.00,179.77,0.18,29.92,266,889,Mélisse
spices & condiments,Zitronensaft,Lemon juice,3404,170.18,162,164,8.2,0,0,0.08,29.86,597,2000,Jus de citron
spices & condiments,Süssholz,Licorice,215,64.53,30,115,34.1,0.46,0,0.481,359,1194,333,Réglisse
spices & condiments,Limettensaft,Lime juice,3894,170.38,162.2,187,8.2,0,0,0.07,24,549,2286,Jus de citron vert
spices & condiments,Maggikraut,Lovage,188,21.19,15,55,6.1,0.06,3.59,0.18,44,391,889,Herbe de Maggi
spices & condiments,Mangomark,Mango pulp,625,46.84,26,278,10.8,10.08,604.74,0.12,58.01,773,1333,Pulpe de mangue
spices & condiments,Ahornsirup,Maple syrup,469,117.35,110,29,5.3,2.02,0,0.4,353.49,1414,400,Sirop d'érable
spices & condiments,Majoran,Marjoram,283,31.81,21,96,7.8,3.00,179.77,0.18,44,391,889,Marjolaine
spices & condiments,Mayonnaise,Mayonnaise,217,191.37,153,44,24.8,13.58,0,1.41,728.48,827,113,Mayonnaise
spices & condiments,Minze,Mint,318,31.81,21,108,7.8,3.00,179.77,0.16,48.96,490,1000,Menthe
spices & condiments,Melasse,Molasses,536,117.35,110,34,5.3,2.02,0,0.35,277.06,1267,457,Mélasse
spices & condiments,Senf,Mustard,492,110.81,70,181,21.9,18.87,0,0.36,142,631,444,Moutarde
spices & condiments,Senfsamen,Mustard seeds,593,478.44,417,76,24.6,36.89,0,1.29,509.7,632,124,Graines de moutarde
spices & condiments,Muskat,Nutmeg,408,244.61,226,31,6.8,11.77,0,0.96,537.64,896,167,Noix de muscade
spices & condiments,Oregano,Oregano,283,28.81,18,106,7.8,3.00,179.77,0.163,63.18,620,982,Origan
spices & condiments,Paprikapulver,Paprika (powder),871,421.41,406,32,14.7,0.75,44.97,0.774,356,736,207,Paprika en poudre
spices & condiments,Petersilie,Parsley,243,25.81,15,102,7.8,3.00,179.77,0.17,56.13,528,941,Persil
spices & condiments,Pfeffer,Pepper,2024,531.38,417,436,113.6,0.78,0,0.42,76,290,381,Poivre
spices & condiments,Himbeeressig,Raspberry vinegar,5764,252.19,250,50,2.2,0,0,0.07,22.45,513,2286,Vinaigre à la framboise
spices & condiments,Reisessig,Rice vinegar,8077,353.37,315,877,24.8,13.58,0,0.07,22.45,513,2286,Vinaigre de riz
spices & condiments,Rosmarin,Rosemary,354,31.00,18,149,13.0,0,0,0.14,62.1,710,1143,Romarin
spices & condiments,Safran,Saffron,215,68.50,30,121,37.6,0.92,0,0.51,180,565,314,Safran
spices & condiments,Salbei,Sage,425,39.81,29,115,7.8,3.00,179.77,0.15,58.04,619,1067,Sauge
spices & condiments,Salz,Salt,301,32.00,20,113,10.0,2,0,0.17,0,0,941,Sel
spices & condiments,Sambal Oelek,Sambal oelek,1405,105.37,67,512,24.8,13.58,0,0.12,28,373,1333,Sambal Oelek
spices & condiments,Bohnenkraut,Savory,283,31.81,21,96,7.8,3.00,179.77,0.18,44,391,889,Savoureux
spices & condiments,Sherry-Essig,Sherry vinegar,6785,296.84,290,156,6.8,0,0,0.07,22.45,513,2286,Vinaigre de Xérès
spices & condiments,Garnelenpaste,Shrimp paste,1536,883.37,845,67,24.8,13.58,0,0.92,208,362,174,Pâte de crevettes
spices & condiments,Sojasauce,Soy sauce,827,134.37,96,236,24.8,13.58,0,0.26,60,369,615,Sauce soja
spices & condiments,Gewürze,Spices,202,64.53,30,108,34.1,0.46,0,0.51,180,565,314,Épices
spices & condiments,Sternanis,Star anise,201,63.95,30,107,33.7,0.3,0,0.51,180,565,314,Anis étoilé
spices & condiments,Stärke (Mais),Starch (corn),471,120.62,117,14,3.6,0,0,0.41,360.66,1407,390,Amidon (maïs)
spices & condiments,Kartoffelstärke,Starch (potato),600,150.11,148,8,2.0,0.1,0,0.4,341.55,1366,400,Fécule de pomme de terre
spices & condiments,Weizenstärke,Starch (wheat),333,85.35,78,29,5.3,2.02,0,0.41,353.49,1379,390,Amidon de blé
spices & condiments,Zucker (Rüben),Sugar (sugar beet),132,37.02,35,7,2.0,0,0,0.45,406.04,1444,356,Sucre (betterave)
spices & condiments,Zucker (Rohr),Sugar (sugar cane),450,126.53,112,52,13.3,1.24,0,0.45,406.04,1444,356,Sucre de canne
spices & condiments,Süsse Paprika,Sweet paprika,202,64.53,30,108,34.1,0.46,0,0.51,180,565,314,Paprika doux
spices & condiments,Chilisauce,Tabasco,4799,239.96,220,399,19.4,0.52,0,0.08,12,240,2000,Sauce pimentée
spices & condiments,Tamarinde,Tamarind,1349,177.00,163,107,9.0,5.01,0,0.21,139,1059,762,Tamarin
spices & condiments,Thymian,Thyme,382,31.00,18,160,13.0,0,0,0.13,52.55,647,1231,Thym
spices & condiments,Tomatenkonzentrat,Tomato paste,1386,173.20,165,66,8.2,0,0,0.2,78,624,800,Concentré de tomates
spices & condiments,Tomatensugo,Tomato sauce,932,93.20,85,82,8.2,0,0,0.16,68.79,688,1000,Sugo de tomate
spices & condiments,Kurkuma,Turmeric,188,64.53,30,101,34.1,0.46,0,0.549,291,848,291,Curcuma
spices & condiments,Vanilleschoten,Vanilla beans,13094,1391.28,1341,473,38.7,11.61,0,0.17,0,0,941,Gousses de vanille
spices & condiments,Gemüsebrühe,Vegetable stock,497,205.05,203,5,2.1,0,0,0.66,238,577,242,Bouillon de légumes
spices & condiments,Wermut,Vermouth,2734,290.44,280,98,9.3,1.1,0,0.17,139.01,1308,941,Vermouth
spices & condiments,Weissweinessig,White wine vinegar,3370,147.44,137,239,9.3,1.1,0,0.07,22.45,513,2286,Vinaigre de vin blanc
spices & condiments,Bärlauch,Wild garlic,1402,41.19,35,211,6.1,0.06,3.59,0.047,16,545,3404,Ail sauvage
spices & condiments,Hefe (frisch),Yeast (fresh),274,75.45,73.4,7,2.1,0,0,0.44,96.02,349,364,Levure (fraîche)
starches & bread,Stärke und Brot,AA starches & bread,,0.00,,,,,,,,,,Amidons et pain
starches & bread,Amaranth,Amaranth,84,36.95,35,4,2.0,0,0,0.7,369,843,229,Amarante
starches & bread,Gerste,Barley,187,61.85,59,9,2.9,0,0,0.53,334.38,1009,302,Orge
starches & bread,Basmatireis,Basmati rice,933,303.37,265,118,24.8,13.58,0,0.52,353.49,1088,308,Riz basmati
starches & bread,Brot,Bread,343,94.35,87,27,5.3,2.02,0,0.44,246.01,895,364,Pain
starches & bread,Buchweizen,Buckwheat,281,84.35,77,25,5.3,2.02,0,0.48,277.06,924,333,Sarrasin
starches & bread,Buchweizenmehl,Buckwheat flour,202,78.35,71,19,5.3,2.02,0,0.62,346.33,894,258,Farine de sarrasin
starches & bread,Bulghur,Bulghur,253,96.56,83,36,13.6,0,0,0.61,329.13,863,262,Bulghur
starches & bread,Kastanien,Chestnuts,1142,217.62,210,40,7.6,0,0,0.305,200,1049,525,Châtaignes
starches & bread,Kichererbsenmehl,Chickpea flour,204,108.26,79,55,20.8,8.43,0,0.85,360,678,188,Farine de pois chiches
starches & bread,Maisgriess,Corn grits,182,63.62,60,10,3.6,0,0,0.56,353.49,1010,286,Semoule de maïs
starches & bread,Couscous,Couscous,190,78.35,71,18,5.3,2.02,0,0.66,351,851,242,Couscous
starches & bread,Hartweizengriess,Durum wheat semolina,199,78.35,71,19,5.3,2.02,0,0.63,355.88,904,254,Semoule de blé dur
starches & bread,Frühkartoffeln,Early potatoes,364,36.43,34,24,2.3,0.17,0,0.16,76.43,764,1000,Pommes de terre de primeur
starches & bread,Pommes frites,French Fries,1739,543.35,536,24,5.3,2.02,0,0.5,284.23,910,320,Les frites
starches & bread,Glasnudeln,Glass noodles,306,76.62,73,14,3.6,0,0,0.4,349.9,1400,400,Nouilles transparentes
starches & bread,Gluten (Weizen),Gluten (wheat),209,224.35,217,7,5.3,2.02,0,1.72,370,344,93,Gluten (blé)
starches & bread,Gnocchi (Kartoffel),Gnocchi (potato),347,69.45,62.1,37,5.3,2.02,0,0.32,174.84,874,500,Gnocchi (pomme de terre)
starches & bread,Goldhirse,Gold millet,164,62.34,35,72,21.7,5.66,0,0.61,360.66,946,262,Millet doré
starches & bread,Grünkernschrot,Green spelt wholemeal,206,87.35,80,17,5.3,2.02,0,0.68,340,800,235,Farine d'épeautre vert
starches & bread,Topinambur,Jerusalem artichokes,450,42.21,34,88,8.2,0,0,0.15,48.75,520,1067,Topinambour
starches & bread,Linsenmehl,Lentil flour,123,100.98,66,43,23.6,11.38,0,1.31,396.48,484,122,Farine de lentilles
starches & bread,Laugenbrezel,Lye roll,256,94.35,87,20,5.3,2.02,0,0.59,366,993,271,Bretzel
starches & bread,Maniok,Manioc,244,35.07,8,188,15.1,12,0,0.23,159.07,1107,696,Manioc
starches & bread,Hirse,Millet,161,61.36,35,69,12.3,14.1,0,0.61,360.66,946,262,Millet
starches & bread,Mehrkornmehl,Multigrain flour,171,68.26,58.8,24,7.9,1.61,0,0.64,342,855,250,Farine multigrains
starches & bread,Pasta,Noodles,247,97.35,90,19,5.3,2.02,0,0.63,358.27,910,254,Pâtes
starches & bread,Pasta (mit Ei),Noodles (with egg),284,117.35,110,18,5.3,2.02,0,0.66,370.21,897,242,Pâtes (avec œuf)
starches & bread,Hafer,Oats,277,98.56,85,38,13.6,0,0,0.57,353,991,281,Avoine
starches & bread,Graupe,Pearl barley,187,61.85,59,9,2.9,0,0,0.53,334.38,1009,302,Farine de céréales
starches & bread,Kartoffeln,Potatoes,144,14.43,12,24,2.3,0.17,0,0.16,76,760,1000,Pommes de terre
starches & bread,Blätterteig (pflanzliche Fette),Puff pastry (vegetable fats),260,108.85,101.5,18,5.3,2.02,0,0.67,355.88,850,239,Pâte feuilletée (graisses végétales)
starches & bread,Quinoa,Quinoa,319,127.64,88.2,99,29.7,9.77,0,0.64,368,920,250,Quinoa
starches & bread,Reis,Rice,933,303.37,265,118,24.8,13.58,0,0.52,353.49,1088,308,Riz
starches & bread,Reismehl,Rice flour,852,282.37,244,116,24.8,13.58,0,0.53,355.16,1072,302,Farine de riz
starches & bread,Risottoreis,Risotto rice,916,303.37,265,116,24.8,13.58,0,0.53,358,1081,302,Riz pour risotto
starches & bread,Roggenmehl,Rye flour,269,90.74,88,8,2.7,0,0,0.54,327.22,970,296,Farine de seigle
starches & bread,Laugengebäck,Soft pretzel,226,83.35,76,20,5.3,2.02,0,0.59,365.43,991,271,Pain de Sils
starches & bread,Sojamehl,Soy flour,356,291.53,277,18,13.3,1.24,0,1.31,396.48,484,122,Farine de soja
starches & bread,Spaghetti,Spaghetti,250,98.35,91,19,5.3,2.02,0,0.63,358.27,910,254,Spaghetti
starches & bread,Dinkelmehl,Spelled flour,212,87.35,80,18,5.3,2.02,0,0.66,353.49,857,242,Farine d'épeautre
starches & bread,Dinkelvollkorn,Spelled wholemeal,95,33.34,28,15,5.3,0,0,0.56,330.24,944,286,Epeautre complet
starches & bread,Süßkartoffel,Sweet potato,159,16.93,14.5,23,2.3,0.17,0,0.17,98,922,941,Patate douce
starches & bread,Weizen,Wheat,166,60.35,53,20,5.3,2.02,0,0.58,327.22,903,276,Blé
starches & bread,Weizenmehl,Wheat flour (type 812),202,78.35,71,19,5.3,2.02,0,0.62,351,906,258,Farine de blé
starches & bread,Weissmehl,White flour,202,78.35,71,19,5.3,2.02,0,0.62,351.1,906,258,Farine blanche
starches & bread,Vollweizengrieß,Whole wheat semolina,141,55.35,48,19,5.3,2.02,0,0.63,355.88,904,254,Semoule de blé complet
starches & bread,Vollkorn,Whole-grain,164,55.35,48,22,5.3,2.02,0,0.54,327.22,970,296,Grain de blé
starches & bread,Vollkornbrot,Whole-grain bread,359,94.35,87,28,5.3,2.02,0,0.42,215.2,820,381,Pain complet
starches & bread,Schrot,Wholemeal,155,55.35,48,21,5.3,2.02,0,0.57,344,966,281,Gruau
starches & bread,Vollkornmehl,Wholemeal flour,196,78.35,71,18,5.3,2.02,0,0.64,342,855,250,Farine complète
vegetables & mushrooms,Gemüse und Pilze,AA vegetables & mushrooms,,0.00,,,,,,,,,,légumes et champignons
vegetables & mushrooms,Artischockenherzen,Artichoke hearts,843,68.47,60,104,8.5,0,0,0.13,25,308,1231,Coeurs d'artichauts
vegetables & mushrooms,Artischocken,Artichokes,304,28.47,20,90,8.5,0,0,0.15,12,128,1067,Artichauts
vegetables & mushrooms,Rucola,Arugula,469,35.18,29,82,6.2,0,0,0.12,28.42,379,1333,Roquette
vegetables & mushrooms,Aubergine,Aubergine,983,61.41,46,247,14.7,0.75,44.97,0.1,19.03,304,1600,Aubergine
vegetables & mushrooms,Avocado,Avocado,457,93.38,54.3,191,29.9,9.2,0,0.327,141.97,695,489,Avocat
vegetables & mushrooms,Batavia Salat,Batavia lettuce,465,26.18,20,110,6.2,0,0,0.09,12.68,225,1778,Laitue de Batavia
vegetables & mushrooms,Randen,Beetroot,452,36.70,34,33,2.7,0,0,0.13,35.77,440,1231,Betterave rouge
vegetables & mushrooms,Brokkoli,Broccoli,499,43.65,38,65,5.7,0,0,0.14,19.09,218,1143,Brocoli
vegetables & mushrooms,Rosenkohl,Brussels sprouts,569,56.88,52,49,4.9,0,0,0.16,33.53,335,1000,Choux de Bruxelles
vegetables & mushrooms,Butternut,Butternut,119,8.62,5.14,48,3.5,0,0,0.116,49,676,1379,Butternut
vegetables & mushrooms,Kohl,Cabbage,435,29.88,25,71,4.9,0,0,0.11,23.66,344,1455,Chou
vegetables & mushrooms,Karotten,Carrots,295,17.70,15,45,2.7,0,0,0.096,37.76,629,1667,Carottes
vegetables & mushrooms,Blumenkohl,Cauliflower,476,38.65,33,70,5.7,0,0,0.13,16.29,200,1231,Chou-fleur
vegetables & mushrooms,Stangensellerie,Celery,649,44.63,38,96,6.6,0,0,0.11,9.03,131,1455,Branches de céleri
vegetables & mushrooms,Knollensellerie,Celery root,543,40.70,38,36,2.7,0,0,0.12,20.4,272,1333,Céleri-rave
vegetables & mushrooms,Steinpilze,Ceps,617,54.73,50,53,4.7,0,0,0.142,31.55,355,1127,Cèpes
vegetables & mushrooms,Pfifferlinge,Chanterelles,796,54.73,50,69,4.7,0,0,0.11,16.62,242,1455,Chanterelles
vegetables & mushrooms,Mangold,Chard,333,21.63,15,102,6.6,0,0,0.104,23.18,357,1538,Bette à carde
vegetables & mushrooms,Cherrytomaten,Cherry tomatoes,505,25.26,19,125,5.8,0.43,25.94,0.08,21.26,425,2000,Tomates cerises
vegetables & mushrooms,Chicoree,Chicory,452,21.18,15,132,6.2,0,0,0.075,13.38,285,2133,Chicorée
vegetables & mushrooms,Chinakohl,Chinese cabbage,478,29.88,25,78,4.9,0,0,0.1,12.26,196,1600,Chou chinois
vegetables & mushrooms,Mais,Corn,365,45.62,42,29,3.6,0,0,0.2,93.15,745,800,Maïs
vegetables & mushrooms,Gurken,Cucumber,501,28.18,18,181,10.2,0,0,0.09,9.9,176,1778,Concombres
vegetables & mushrooms,Endivie,Endive,478,27.18,21,109,6.2,0,0,0.091,16.25,286,1758,Endive
vegetables & mushrooms,Fenchel,Fennel,776,43.63,37,118,6.6,0,0,0.09,21.1,375,1778,Fenouil
vegetables & mushrooms,Knoblauch,Garlic,328,59.36,35,134,8.2,16.15,0,0.29,121.49,670,552,Ail
vegetables & mushrooms,Grüner Spargel,Green asparagus,1368,102.63,86,222,10.7,5.95,357.12,0.12,23.14,309,1333,Asperges vertes
vegetables & mushrooms,Meerrettich,Horseradish,271,35.63,29,51,6.6,0,0,0.21,80,610,762,Raifort
vegetables & mushrooms,Eisbergsalat,Iceberg lettuce,502,24.18,18,128,6.2,0,0,0.077,16.77,348,2078,Laitue iceberg
vegetables & mushrooms,Jalapeno,Jalapeno,1584,59.41,44,411,14.7,0.75,44.97,0.06,15,400,2667,Jalapeno
vegetables & mushrooms,Grünkohl,Kale,276,29.35,25,41,4.4,0,0,0.17,23.51,221,941,Chou frisé
vegetables & mushrooms,Feldsalat,Lamb's lettuce,422,27.18,21,96,6.2,0,0,0.103,22.94,356,1553,Mâche
vegetables & mushrooms,Lauch,Leek,507,41.22,35,77,6.2,0,0,0.13,17.18,211,1231,Poireau
vegetables & mushrooms,Kopfsalat,Lettuce,550,27.18,21,125,6.2,0,0,0.079,14.1,286,2025,Laitue
vegetables & mushrooms,Pilze,Mushrooms,2343,175.73,171,63,4.7,0,0,0.12,22,293,1333,Champignons de Paris
vegetables & mushrooms,Brennnesseln,Nettles,138,17.19,11,50,6.1,0.06,3.59,0.2,50.4,403,800,Orties
vegetables & mushrooms,Zwiebeln,Onions,545,37.50,35,36,2.5,0,0,0.11,35.82,521,1455,Oignons
vegetables & mushrooms,Austernpilz,Oyster mushroom,1534,121.73,117,60,4.7,0,0,0.127,25.5,321,1260,Pleurote en huître
vegetables & mushrooms,Pak Choi,Pak choi,531,29.88,25,87,4.9,0,0,0.09,11.13,198,1778,Pak Choi
vegetables & mushrooms,Peperoni,Paprika,1033,59.41,44,268,14.7,0.75,44.97,0.092,32,557,1739,Piments
vegetables & mushrooms,Pastinaken,Parsnips,199,17.70,15,30,2.7,0,0,0.142,65.1,734,1127,Panais
vegetables & mushrooms,Peperoncini,Peperoncini,697,56.65,44,156,11.2,1.41,84.6,0.13,36.6,450,1231,Pépéroncini
vegetables & mushrooms,Eingelegtes Gemüse,Pickles,1385,60.59,35,585,25.6,0,0,0.07,14.09,322,2286,Légumes marinés
vegetables & mushrooms,Portulak,Portulaca,544,27.19,21,124,6.1,0.06,3.59,0.08,18.34,367,2000,Pourpier
vegetables & mushrooms,Kürbis,Pumpkin,181,8.62,5.14,73,3.5,0,0,0.076,23.42,493,2105,Citrouille
vegetables & mushrooms,Radicchio,Radicchio,625,35.18,29,110,6.2,0,0,0.09,11.9,212,1778,Radicchio
vegetables & mushrooms,Rettich,Radish,564,31.70,29,48,2.7,0,0,0.09,13.61,242,1778,Radis
vegetables & mushrooms,Rotkohl,Red cabbage,435,29.88,25,71,4.9,0,0,0.11,23.66,344,1455,Chou rouge
vegetables & mushrooms,Eichbattsalat,Red oak leaf salad,550,27.18,21,125,6.2,0,0,0.079,14.1,286,2025,Laitue à feuilles de chêne
vegetables & mushrooms,Romanesco,Romanesco,476,38.65,33,70,5.7,0,0,0.13,16.29,200,1231,Romanesco
